"","Date","ID","Breed","Sex","BirthDate","Age","Weight"
"644",2018-09-14,31,"Brahman","female",2018-09-11,4,43.58
"649",2018-09-14,57,"composite","female",2018-09-12,3,41.09
"658",2018-09-14,56,"composite","female",2018-09-11,4,41.39
"667",2018-09-15,56,"composite","female",2018-09-11,5,41.39
"668",2018-09-15,24,"Brahman","male",2018-09-04,12,57.2
"670",2018-09-15,31,"Brahman","female",2018-09-11,5,43.58
"675",2018-09-15,14,"Belmont Red","female",2018-09-05,11,48.68
"689",2018-09-15,57,"composite","female",2018-09-12,4,41.39
"702",2018-09-15,58,"composite","female",2018-09-11,5,41.39
"726",2018-09-16,58,"composite","female",2018-09-11,6,41.39
"732",2018-09-16,14,"Belmont Red","female",2018-09-05,12,53.31
"742",2018-09-16,56,"composite","female",2018-09-11,6,41.39
"757",2018-09-16,57,"composite","female",2018-09-12,5,41.39
"760",2018-09-16,31,"Brahman","female",2018-09-11,6,43.58
"776",2018-09-16,24,"Brahman","male",2018-09-04,13,58.52
"783",2018-09-17,58,"composite","female",2018-09-11,7,48.76
"803",2018-09-17,57,"composite","female",2018-09-12,6,41.39
"812",2018-09-17,23,"Brahman","male",2018-09-17,1,48.07
"815",2018-09-17,56,"composite","female",2018-09-11,7,48.76
"827",2018-09-17,31,"Brahman","female",2018-09-11,7,50.09
"832",2018-09-17,14,"Belmont Red","female",2018-09-05,13,54.63
"835",2018-09-17,24,"Brahman","male",2018-09-04,14,60.72
"851",2018-09-18,23,"Brahman","male",2018-09-17,2,48.07
"854",2018-09-18,57,"composite","female",2018-09-12,7,48.76
"865",2018-09-18,14,"Belmont Red","female",2018-09-05,14,56.83
"868",2018-09-18,56,"composite","female",2018-09-11,8,48.76
"877",2018-09-18,24,"Brahman","male",2018-09-04,15,60.72
"886",2018-09-18,58,"composite","female",2018-09-11,8,48.76
"891",2018-09-18,21,"Brahman","male",2018-09-18,1,48.07
"898",2018-09-18,31,"Brahman","female",2018-09-11,8,50.09
"902",2018-09-19,58,"composite","female",2018-09-11,9,48.76
"907",2018-09-19,56,"composite","female",2018-09-11,9,48.76
"930",2018-09-19,14,"Belmont Red","female",2018-09-05,15,56.83
"937",2018-09-19,31,"Brahman","female",2018-09-11,9,50.09
"940",2018-09-19,21,"Brahman","male",2018-09-18,2,48.07
"942",2018-09-19,24,"Brahman","male",2018-09-04,16,60.72
"956",2018-09-19,23,"Brahman","male",2018-09-17,3,48.07
"959",2018-09-19,57,"composite","female",2018-09-12,8,48.76
"961",2018-09-20,21,"Brahman","male",2018-09-18,3,48.07
"964",2018-09-20,56,"composite","female",2018-09-11,10,48.76
"970",2018-09-20,57,"composite","female",2018-09-12,9,48.76
"988",2018-09-20,23,"Brahman","male",2018-09-17,4,48.38
"993",2018-09-20,58,"composite","female",2018-09-11,10,48.76
"995",2018-09-20,14,"Belmont Red","female",2018-09-05,16,56.83
"1004",2018-09-20,24,"Brahman","male",2018-09-04,17,60.72
"1019",2018-09-20,31,"Brahman","female",2018-09-11,10,50.09
"1025",2018-09-21,31,"Brahman","female",2018-09-11,11,50.09
"1040",2018-09-21,56,"composite","female",2018-09-11,11,48.76
"1044",2018-09-21,58,"composite","female",2018-09-11,11,48.76
"1045",2018-09-21,21,"Brahman","male",2018-09-18,4,48.38
"1046",2018-09-21,57,"composite","female",2018-09-12,10,48.76
"1049",2018-09-21,23,"Brahman","male",2018-09-17,5,48.38
"1057",2018-09-21,14,"Belmont Red","female",2018-09-05,17,56.83
"1068",2018-09-21,24,"Brahman","male",2018-09-04,18,60.72
"1099",2018-09-22,21,"Brahman","male",2018-09-18,5,48.38
"1101",2018-09-22,23,"Brahman","male",2018-09-17,6,48.38
"1102",2018-09-22,27,"Brahman","male",2018-09-22,1,48.07
"1109",2018-09-22,31,"Brahman","female",2018-09-11,12,54.72
"1118",2018-09-22,57,"composite","female",2018-09-12,11,48.76
"1119",2018-09-22,58,"composite","female",2018-09-11,12,53.4
"1125",2018-09-22,14,"Belmont Red","female",2018-09-05,18,56.83
"1135",2018-09-22,24,"Brahman","male",2018-09-04,19,61.97
"1136",2018-09-22,56,"composite","female",2018-09-11,12,53.4
"1149",2018-09-23,27,"Brahman","male",2018-09-22,2,48.07
"1155",2018-09-23,14,"Belmont Red","female",2018-09-05,19,58.08
"1157",2018-09-23,24,"Brahman","male",2018-09-04,20,61.97
"1158",2018-09-23,58,"composite","female",2018-09-11,13,54.72
"1159",2018-09-23,31,"Brahman","female",2018-09-11,13,56.04
"1173",2018-09-23,56,"composite","female",2018-09-11,13,54.72
"1177",2018-09-23,21,"Brahman","male",2018-09-18,6,48.38
"1178",2018-09-23,23,"Brahman","male",2018-09-17,7,52.57
"1187",2018-09-23,57,"composite","female",2018-09-12,12,53.4
"1209",2018-09-24,57,"composite","female",2018-09-12,13,54.72
"1211",2018-09-24,58,"composite","female",2018-09-11,14,56.92
"1226",2018-09-24,27,"Brahman","male",2018-09-22,3,48.07
"1236",2018-09-24,14,"Belmont Red","female",2018-09-05,20,58.08
"1237",2018-09-24,56,"composite","female",2018-09-11,14,56.92
"1240",2018-09-24,24,"Brahman","male",2018-09-04,21,61.97
"1242",2018-09-24,23,"Brahman","male",2018-09-17,8,52.57
"1243",2018-09-24,21,"Brahman","male",2018-09-18,7,52.57
"1255",2018-09-24,31,"Brahman","female",2018-09-11,14,58.24
"1262",2018-09-25,56,"composite","female",2018-09-11,15,56.92
"1268",2018-09-25,21,"Brahman","male",2018-09-18,8,52.57
"1271",2018-09-25,31,"Brahman","female",2018-09-11,15,58.24
"1273",2018-09-25,14,"Belmont Red","female",2018-09-05,21,58.08
"1277",2018-09-25,27,"Brahman","male",2018-09-22,4,48.38
"1286",2018-09-25,57,"composite","female",2018-09-12,14,56.92
"1297",2018-09-25,58,"composite","female",2018-09-11,15,56.92
"1311",2018-09-25,23,"Brahman","male",2018-09-17,9,52.57
"1314",2018-09-25,24,"Brahman","male",2018-09-04,22,61.97
"1324",2018-09-26,14,"Belmont Red","female",2018-09-05,22,58.08
"1326",2018-09-26,27,"Brahman","male",2018-09-22,5,48.38
"1332",2018-09-26,24,"Brahman","male",2018-09-04,23,61.97
"1341",2018-09-26,23,"Brahman","male",2018-09-17,10,52.57
"1347",2018-09-26,21,"Brahman","male",2018-09-18,9,52.57
"1348",2018-09-26,34,"Brahman","female",2018-09-26,1,43.28
"1356",2018-09-26,3,"Belmont Red","male",2018-09-26,1,46.67
"1357",2018-09-26,56,"composite","female",2018-09-11,16,56.92
"1361",2018-09-26,22,"Brahman","male",2018-09-26,1,48.07
"1364",2018-09-26,58,"composite","female",2018-09-11,16,56.92
"1366",2018-09-26,57,"composite","female",2018-09-12,15,56.92
"1373",2018-09-26,31,"Brahman","female",2018-09-11,16,58.24
"1374",2018-09-26,55,"composite","female",2018-09-26,1,41.09
"1382",2018-09-27,58,"composite","female",2018-09-11,17,56.92
"1385",2018-09-27,31,"Brahman","female",2018-09-11,17,58.24
"1389",2018-09-27,56,"composite","female",2018-09-11,17,56.92
"1390",2018-09-27,14,"Belmont Red","female",2018-09-05,23,58.08
"1392",2018-09-27,21,"Brahman","male",2018-09-18,10,52.57
"1395",2018-09-27,55,"composite","female",2018-09-26,2,41.09
"1396",2018-09-27,34,"Brahman","female",2018-09-26,2,43.28
"1401",2018-09-27,57,"composite","female",2018-09-12,16,56.92
"1403",2018-09-27,23,"Brahman","male",2018-09-17,11,52.57
"1414",2018-09-27,3,"Belmont Red","male",2018-09-26,2,46.67
"1428",2018-09-27,27,"Brahman","male",2018-09-22,6,48.38
"1434",2018-09-27,22,"Brahman","male",2018-09-26,2,48.07
"1439",2018-09-27,24,"Brahman","male",2018-09-04,24,63.71
"1449",2018-09-28,34,"Brahman","female",2018-09-26,3,43.28
"1452",2018-09-28,21,"Brahman","male",2018-09-18,11,52.57
"1455",2018-09-28,55,"composite","female",2018-09-26,3,41.09
"1456",2018-09-28,54,"composite","female",2018-09-28,1,41.09
"1464",2018-09-28,56,"composite","female",2018-09-11,18,56.92
"1467",2018-09-28,58,"composite","female",2018-09-11,18,56.92
"1469",2018-09-28,24,"Brahman","male",2018-09-04,25,63.71
"1475",2018-09-28,57,"composite","female",2018-09-12,17,56.92
"1480",2018-09-28,3,"Belmont Red","male",2018-09-26,3,46.67
"1481",2018-09-28,31,"Brahman","female",2018-09-11,18,58.24
"1482",2018-09-28,23,"Brahman","male",2018-09-17,12,57.2
"1485",2018-09-28,22,"Brahman","male",2018-09-26,3,48.07
"1495",2018-09-28,27,"Brahman","male",2018-09-22,7,52.57
"1498",2018-09-28,14,"Belmont Red","female",2018-09-05,24,59.83
"1502",2018-09-29,14,"Belmont Red","female",2018-09-05,25,59.83
"1512",2018-09-29,57,"composite","female",2018-09-12,18,56.92
"1517",2018-09-29,55,"composite","female",2018-09-26,4,41.39
"1518",2018-09-29,24,"Brahman","male",2018-09-04,26,64.61
"1525",2018-09-29,58,"composite","female",2018-09-11,19,57.69
"1527",2018-09-29,34,"Brahman","female",2018-09-26,4,43.58
"1538",2018-09-29,23,"Brahman","male",2018-09-17,13,58.52
"1539",2018-09-29,54,"composite","female",2018-09-28,2,41.09
"1540",2018-09-29,31,"Brahman","female",2018-09-11,19,59.49
"1543",2018-09-29,21,"Brahman","male",2018-09-18,12,57.2
"1547",2018-09-29,27,"Brahman","male",2018-09-22,8,52.57
"1548",2018-09-29,3,"Belmont Red","male",2018-09-26,4,46.97
"1550",2018-09-29,22,"Brahman","male",2018-09-26,4,48.38
"1552",2018-09-29,56,"composite","female",2018-09-11,19,57.69
"1565",2018-09-30,57,"composite","female",2018-09-12,19,57.69
"1569",2018-09-30,58,"composite","female",2018-09-11,20,57.69
"1572",2018-09-30,22,"Brahman","male",2018-09-26,5,48.38
"1574",2018-09-30,55,"composite","female",2018-09-26,5,41.39
"1580",2018-09-30,24,"Brahman","male",2018-09-04,27,64.61
"1583",2018-09-30,23,"Brahman","male",2018-09-17,14,60.72
"1588",2018-09-30,56,"composite","female",2018-09-11,20,57.69
"1590",2018-09-30,34,"Brahman","female",2018-09-26,5,43.58
"1591",2018-09-30,21,"Brahman","male",2018-09-18,13,58.52
"1592",2018-09-30,31,"Brahman","female",2018-09-11,20,59.49
"1602",2018-09-30,3,"Belmont Red","male",2018-09-26,5,46.97
"1604",2018-09-30,54,"composite","female",2018-09-28,3,41.09
"1609",2018-09-30,14,"Belmont Red","female",2018-09-05,26,60.73
"1620",2018-09-30,27,"Brahman","male",2018-09-22,9,52.57
"1625",2018-10-01,55,"composite","female",2018-09-26,6,44.46
"1626",2018-10-01,22,"Brahman","male",2018-09-26,6,44.9
"1631",2018-10-01,14,"Belmont Red","female",2018-09-05,27,59.42
"1632",2018-10-01,31,"Brahman","female",2018-09-11,21,57.86
"1643",2018-10-01,27,"Brahman","male",2018-09-22,10,49.81
"1644",2018-10-01,57,"composite","female",2018-09-12,20,60.76
"1650",2018-10-01,58,"composite","female",2018-09-11,21,60.76
"1652",2018-10-01,56,"composite","female",2018-09-11,21,60.76
"1666",2018-10-01,54,"composite","female",2018-09-28,4,44.46
"1667",2018-10-01,34,"Brahman","female",2018-09-26,6,41.95
"1668",2018-10-01,3,"Belmont Red","male",2018-09-26,6,42.24
"1671",2018-10-01,24,"Brahman","male",2018-09-04,28,63.43
"1676",2018-10-01,23,"Brahman","male",2018-09-17,15,57.96
"1677",2018-10-01,21,"Brahman","male",2018-09-18,14,57.96
"1683",2018-10-02,27,"Brahman","male",2018-09-22,11,49.81
"1689",2018-10-02,57,"composite","female",2018-09-12,21,60.76
"1691",2018-10-02,55,"composite","female",2018-09-26,7,51.84
"1694",2018-10-02,24,"Brahman","male",2018-09-04,29,66.13
"1695",2018-10-02,54,"composite","female",2018-09-28,5,44.46
"1698",2018-10-02,14,"Belmont Red","female",2018-09-05,28,59.42
"1713",2018-10-02,34,"Brahman","female",2018-09-26,7,48.46
"1715",2018-10-02,3,"Belmont Red","male",2018-09-26,7,47.14
"1716",2018-10-02,23,"Brahman","male",2018-09-17,16,57.96
"1720",2018-10-02,56,"composite","female",2018-09-11,22,60.76
"1721",2018-10-02,21,"Brahman","male",2018-09-18,15,57.96
"1725",2018-10-02,31,"Brahman","female",2018-09-11,22,57.86
"1730",2018-10-02,22,"Brahman","male",2018-09-26,7,49.81
"1738",2018-10-02,58,"composite","female",2018-09-11,22,60.76
"1745",2018-10-03,57,"composite","female",2018-09-12,22,60.76
"1746",2018-10-03,54,"composite","female",2018-09-28,6,44.46
"1753",2018-10-03,3,"Belmont Red","male",2018-09-26,8,47.14
"1758",2018-10-03,14,"Belmont Red","female",2018-09-05,29,62.12
"1763",2018-10-03,55,"composite","female",2018-09-26,8,51.84
"1769",2018-10-03,23,"Brahman","male",2018-09-17,17,57.96
"1773",2018-10-03,34,"Brahman","female",2018-09-26,8,48.46
"1775",2018-10-03,58,"composite","female",2018-09-11,23,60.76
"1780",2018-10-03,21,"Brahman","male",2018-09-18,16,57.96
"1787",2018-10-03,56,"composite","female",2018-09-11,23,60.76
"1789",2018-10-03,31,"Brahman","female",2018-09-11,23,57.86
"1790",2018-10-03,24,"Brahman","male",2018-09-04,30,66.13
"1798",2018-10-03,22,"Brahman","male",2018-09-26,8,49.81
"1800",2018-10-03,27,"Brahman","male",2018-09-22,12,54.44
"1814",2018-10-04,23,"Brahman","male",2018-09-17,18,57.96
"1817",2018-10-04,21,"Brahman","male",2018-09-18,17,57.96
"1819",2018-10-04,22,"Brahman","male",2018-09-26,9,49.81
"1821",2018-10-04,55,"composite","female",2018-09-26,9,51.84
"1822",2018-10-04,3,"Belmont Red","male",2018-09-26,9,47.14
"1824",2018-10-04,31,"Brahman","female",2018-09-11,24,61.19
"1829",2018-10-04,24,"Brahman","male",2018-09-04,31,67.21
"1833",2018-10-04,58,"composite","female",2018-09-11,24,64.08
"1835",2018-10-04,54,"composite","female",2018-09-28,7,51.84
"1836",2018-10-04,57,"composite","female",2018-09-12,23,60.76
"1843",2018-10-04,27,"Brahman","male",2018-09-22,13,55.76
"1856",2018-10-04,56,"composite","female",2018-09-11,24,64.08
"1858",2018-10-04,14,"Belmont Red","female",2018-09-05,30,62.12
"1860",2018-10-04,34,"Brahman","female",2018-09-26,9,48.46
"1870",2018-10-05,21,"Brahman","male",2018-09-18,18,57.96
"1871",2018-10-05,54,"composite","female",2018-09-28,8,51.84
"1873",2018-10-05,3,"Belmont Red","male",2018-09-26,10,47.14
"1876",2018-10-05,34,"Brahman","female",2018-09-26,10,48.46
"1891",2018-10-05,58,"composite","female",2018-09-11,25,64.08
"1893",2018-10-05,22,"Brahman","male",2018-09-26,10,49.81
"1894",2018-10-05,57,"composite","female",2018-09-12,24,64.08
"1895",2018-10-05,14,"Belmont Red","female",2018-09-05,31,62.84
"1897",2018-10-05,31,"Brahman","female",2018-09-11,25,61.19
"1899",2018-10-05,55,"composite","female",2018-09-26,10,51.84
"1902",2018-10-05,23,"Brahman","male",2018-09-17,19,59.21
"1903",2018-10-05,24,"Brahman","male",2018-09-04,32,71.58
"1906",2018-10-05,27,"Brahman","male",2018-09-22,14,57.96
"1907",2018-10-05,56,"composite","female",2018-09-11,25,64.08
"1923",2018-10-06,27,"Brahman","male",2018-09-22,15,57.96
"1931",2018-10-06,58,"composite","female",2018-09-11,26,64.98
"1933",2018-10-06,31,"Brahman","female",2018-09-11,26,62.09
"1939",2018-10-06,24,"Brahman","male",2018-09-04,33,71.58
"1941",2018-10-06,57,"composite","female",2018-09-12,25,64.08
"1943",2018-10-06,21,"Brahman","male",2018-09-18,19,59.21
"1946",2018-10-06,55,"composite","female",2018-09-26,11,51.84
"1951",2018-10-06,34,"Brahman","female",2018-09-26,11,48.46
"1956",2018-10-06,14,"Belmont Red","female",2018-09-05,32,67.84
"1958",2018-10-06,23,"Brahman","male",2018-09-17,20,59.21
"1959",2018-10-06,3,"Belmont Red","male",2018-09-26,11,47.14
"1967",2018-10-06,22,"Brahman","male",2018-09-26,11,49.81
"1968",2018-10-06,54,"composite","female",2018-09-28,9,51.84
"1979",2018-10-06,56,"composite","female",2018-09-11,26,64.98
"1981",2018-10-07,24,"Brahman","male",2018-09-04,34,71.58
"1984",2018-10-07,27,"Brahman","male",2018-09-22,16,57.96
"1993",2018-10-07,14,"Belmont Red","female",2018-09-05,33,67.84
"1998",2018-10-07,57,"composite","female",2018-09-12,26,64.98
"2001",2018-10-07,23,"Brahman","male",2018-09-17,21,59.21
"2004",2018-10-07,34,"Brahman","female",2018-09-26,12,53.1
"2007",2018-10-07,52,"composite","female",2018-10-07,1,44.16
"2013",2018-10-07,54,"composite","female",2018-09-28,10,51.84
"2015",2018-10-07,22,"Brahman","male",2018-09-26,12,54.44
"2019",2018-10-07,56,"composite","female",2018-09-11,27,64.58
"2021",2018-10-07,55,"composite","female",2018-09-26,12,56.47
"2024",2018-10-07,21,"Brahman","male",2018-09-18,20,59.21
"2029",2018-10-07,31,"Brahman","female",2018-09-11,27,62.09
"2034",2018-10-07,58,"composite","female",2018-09-11,27,64.58
"2040",2018-10-07,3,"Belmont Red","male",2018-09-26,12,51.78
"2043",2018-10-08,54,"composite","female",2018-09-28,11,51.84
"2044",2018-10-08,24,"Brahman","male",2018-09-04,35,71.58
"2055",2018-10-08,21,"Brahman","male",2018-09-18,21,59.21
"2058",2018-10-08,27,"Brahman","male",2018-09-22,17,57.96
"2063",2018-10-08,34,"Brahman","female",2018-09-26,13,54.41
"2065",2018-10-08,22,"Brahman","male",2018-09-26,13,55.76
"2067",2018-10-08,14,"Belmont Red","female",2018-09-05,34,67.84
"2069",2018-10-08,55,"composite","female",2018-09-26,13,57.79
"2072",2018-10-08,52,"composite","female",2018-10-07,2,44.16
"2085",2018-10-08,31,"Brahman","female",2018-09-11,28,62.09
"2086",2018-10-08,56,"composite","female",2018-09-11,28,64.58
"2087",2018-10-08,57,"composite","female",2018-09-12,27,64.58
"2091",2018-10-08,23,"Brahman","male",2018-09-17,22,59.21
"2096",2018-10-08,3,"Belmont Red","male",2018-09-26,13,53.09
"2098",2018-10-08,58,"composite","female",2018-09-11,28,64.58
"2101",2018-10-09,57,"composite","female",2018-09-12,28,64.58
"2106",2018-10-09,31,"Brahman","female",2018-09-11,29,64.79
"2109",2018-10-09,24,"Brahman","male",2018-09-04,36,71.58
"2117",2018-10-09,27,"Brahman","male",2018-09-22,18,57.96
"2120",2018-10-09,52,"composite","female",2018-10-07,3,44.16
"2127",2018-10-09,58,"composite","female",2018-09-11,29,66.74
"2128",2018-10-09,23,"Brahman","male",2018-09-17,23,59.21
"2129",2018-10-09,55,"composite","female",2018-09-26,14,59.99
"2131",2018-10-09,21,"Brahman","male",2018-09-18,22,59.21
"2132",2018-10-09,56,"composite","female",2018-09-11,29,66.74
"2133",2018-10-09,3,"Belmont Red","male",2018-09-26,14,55.3
"2143",2018-10-09,53,"composite","female",2018-10-09,1,44.16
"2144",2018-10-09,34,"Brahman","female",2018-09-26,14,56.62
"2151",2018-10-09,54,"composite","female",2018-09-28,12,56.47
"2153",2018-10-09,14,"Belmont Red","female",2018-09-05,35,67.84
"2160",2018-10-09,22,"Brahman","male",2018-09-26,14,57.96
"2164",2018-10-10,58,"composite","female",2018-09-11,30,66.74
"2166",2018-10-10,24,"Brahman","male",2018-09-04,37,75.01
"2169",2018-10-10,53,"composite","female",2018-10-09,2,44.16
"2173",2018-10-10,27,"Brahman","male",2018-09-22,19,59.21
"2176",2018-10-10,22,"Brahman","male",2018-09-26,15,57.96
"2177",2018-10-10,57,"composite","female",2018-09-12,29,66.74
"2178",2018-10-10,31,"Brahman","female",2018-09-11,30,64.79
"2180",2018-10-10,23,"Brahman","male",2018-09-17,24,62.53
"2199",2018-10-10,55,"composite","female",2018-09-26,15,59.99
"2205",2018-10-10,34,"Brahman","female",2018-09-26,15,56.62
"2207",2018-10-10,52,"composite","female",2018-10-07,4,44.46
"2208",2018-10-10,14,"Belmont Red","female",2018-09-05,36,67.84
"2211",2018-10-10,54,"composite","female",2018-09-28,13,57.79
"2214",2018-10-10,56,"composite","female",2018-09-11,30,66.74
"2215",2018-10-10,21,"Brahman","male",2018-09-18,23,59.21
"2220",2018-10-10,3,"Belmont Red","male",2018-09-26,15,55.3
"2226",2018-10-11,58,"composite","female",2018-09-11,31,67.21
"2239",2018-10-11,3,"Belmont Red","male",2018-09-26,16,55.3
"2245",2018-10-11,57,"composite","female",2018-09-12,30,66.74
"2247",2018-10-11,22,"Brahman","male",2018-09-26,16,57.96
"2249",2018-10-11,24,"Brahman","male",2018-09-04,38,75.01
"2259",2018-10-11,34,"Brahman","female",2018-09-26,16,56.62
"2263",2018-10-11,27,"Brahman","male",2018-09-22,20,59.21
"2264",2018-10-11,31,"Brahman","female",2018-09-11,31,65.5
"2266",2018-10-11,21,"Brahman","male",2018-09-18,24,62.53
"2268",2018-10-11,14,"Belmont Red","female",2018-09-05,37,71.28
"2270",2018-10-11,52,"composite","female",2018-10-07,5,44.46
"2273",2018-10-11,53,"composite","female",2018-10-09,3,44.16
"2274",2018-10-11,23,"Brahman","male",2018-09-17,25,62.53
"2275",2018-10-11,54,"composite","female",2018-09-28,14,59.99
"2277",2018-10-11,56,"composite","female",2018-09-11,31,67.21
"2279",2018-10-11,55,"composite","female",2018-09-26,16,59.99
"2281",2018-10-12,14,"Belmont Red","female",2018-09-05,38,71.28
"2282",2018-10-12,23,"Brahman","male",2018-09-17,26,63.43
"2283",2018-10-12,34,"Brahman","female",2018-09-26,17,56.62
"2285",2018-10-12,24,"Brahman","male",2018-09-04,39,75.61
"2286",2018-10-12,3,"Belmont Red","male",2018-09-26,17,55.3
"2288",2018-10-12,53,"composite","female",2018-10-09,4,44.46
"2291",2018-10-12,55,"composite","female",2018-09-26,17,59.99
"2297",2018-10-12,22,"Brahman","male",2018-09-26,17,57.96
"2300",2018-10-12,56,"composite","female",2018-09-11,32,70.03
"2303",2018-10-12,52,"composite","female",2018-10-07,6,44.46
"2310",2018-10-12,31,"Brahman","female",2018-09-11,32,70.5
"2318",2018-10-12,57,"composite","female",2018-09-12,31,67.21
"2320",2018-10-12,27,"Brahman","male",2018-09-22,21,59.21
"2324",2018-10-12,54,"composite","female",2018-09-28,15,59.99
"2327",2018-10-12,58,"composite","female",2018-09-11,32,70.03
"2335",2018-10-12,21,"Brahman","male",2018-09-18,25,62.53
"2341",2018-10-13,24,"Brahman","male",2018-09-04,40,75.61
"2343",2018-10-13,14,"Belmont Red","female",2018-09-05,39,71.87
"2345",2018-10-13,34,"Brahman","female",2018-09-26,18,56.62
"2353",2018-10-13,57,"composite","female",2018-09-12,32,70.03
"2358",2018-10-13,27,"Brahman","male",2018-09-22,22,59.21
"2360",2018-10-13,3,"Belmont Red","male",2018-09-26,18,55.3
"2362",2018-10-13,55,"composite","female",2018-09-26,18,59.99
"2367",2018-10-13,58,"composite","female",2018-09-11,33,70.03
"2370",2018-10-13,56,"composite","female",2018-09-11,33,70.03
"2372",2018-10-13,22,"Brahman","male",2018-09-26,18,57.96
"2374",2018-10-13,31,"Brahman","female",2018-09-11,33,70.5
"2376",2018-10-13,23,"Brahman","male",2018-09-17,27,63.43
"2381",2018-10-13,21,"Brahman","male",2018-09-18,26,63.43
"2383",2018-10-13,52,"composite","female",2018-10-07,7,51.84
"2391",2018-10-13,53,"composite","female",2018-10-09,5,44.46
"2396",2018-10-13,54,"composite","female",2018-09-28,16,59.99
"2401",2018-10-14,53,"composite","female",2018-10-09,6,44.46
"2406",2018-10-14,56,"composite","female",2018-09-11,34,70.03
"2408",2018-10-14,23,"Brahman","male",2018-09-17,28,63.43
"2412",2018-10-14,55,"composite","female",2018-09-26,19,60.76
"2421",2018-10-14,3,"Belmont Red","male",2018-09-26,19,56.55
"2426",2018-10-14,31,"Brahman","female",2018-09-11,34,70.5
"2434",2018-10-14,24,"Brahman","male",2018-09-04,41,78.52
"2435",2018-10-14,27,"Brahman","male",2018-09-22,23,59.21
"2436",2018-10-14,57,"composite","female",2018-09-12,33,70.03
"2438",2018-10-14,52,"composite","female",2018-10-07,8,51.84
"2443",2018-10-14,58,"composite","female",2018-09-11,34,70.03
"2446",2018-10-14,22,"Brahman","male",2018-09-26,19,59.21
"2448",2018-10-14,54,"composite","female",2018-09-28,17,59.99
"2449",2018-10-14,21,"Brahman","male",2018-09-18,27,63.43
"2457",2018-10-14,14,"Belmont Red","female",2018-09-05,40,71.87
"2458",2018-10-14,34,"Brahman","female",2018-09-26,19,57.86
"2462",2018-10-15,21,"Brahman","male",2018-09-18,28,63.43
"2470",2018-10-15,23,"Brahman","male",2018-09-17,29,66.13
"2472",2018-10-15,54,"composite","female",2018-09-28,18,59.99
"2473",2018-10-15,3,"Belmont Red","male",2018-09-26,20,56.55
"2475",2018-10-15,31,"Brahman","female",2018-09-11,35,70.5
"2485",2018-10-15,56,"composite","female",2018-09-11,35,70.03
"2489",2018-10-15,27,"Brahman","male",2018-09-22,24,62.53
"2490",2018-10-15,22,"Brahman","male",2018-09-26,20,59.21
"2496",2018-10-15,53,"composite","female",2018-10-09,7,51.84
"2499",2018-10-15,55,"composite","female",2018-09-26,20,60.76
"2502",2018-10-15,34,"Brahman","female",2018-09-26,20,57.86
"2505",2018-10-15,52,"composite","female",2018-10-07,9,51.84
"2508",2018-10-15,24,"Brahman","male",2018-09-04,42,78.52
"2510",2018-10-15,58,"composite","female",2018-09-11,35,70.03
"2516",2018-10-15,57,"composite","female",2018-09-12,34,70.03
"2517",2018-10-15,14,"Belmont Red","female",2018-09-05,41,74.78
